Product Name,Price,Rating,Image Link,Product Link
Mi XXQ01HM  Runtime: 90 min Trimmer for Men,"₹1,199",4.4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/mi-xxq01hm-runtime-90-min-trimmer-men/p/itmdc9ab80c9cda5?pid=TMRFJPH3DBURGEZR&lid=LSTTMRFJPH3DBURGEZRM906O8&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=2aaa5c14-c677-4557-ae10-6673f60478f2.TMRFJPH3DBURGEZR.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Flipkart SmartBuy M4D12Q Runtime : 60 min Cordless USB ...,₹449,4.2,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/flipkart-smartbuy-m4d12q-runtime-60-min-cordless-usb-trimmer-men-black-silver/p/itmeuur2gfkkhhga?pid=TMREUUR2UGMGXHSG&lid=LSTTMREUUR2UGMGXHSGESLQNF&marketplace=FLIPKART&spotlightTagId=BestsellerId_zlw%2F79s%2Fby3&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=0e373e63-325f-4ace-ad50-bf546ab2adaa.TMREUUR2UGMGXHSG.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Philips BT1210  Runtime: 30 min Trimmer for Men,₹775,4.2,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/philips-bt1210-runtime-30-min-trimmer-men/p/itmewf8wcbxjtgw5?pid=TMREWF8WTUQQCZPA&lid=LSTTMREWF8WTUQQCZPA9PASH0&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=8e12a791-fb95-4060-b6c2-b7a0b0b21e91.TMREWF8WTUQQCZPA.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Nova Prime Series NHT 1086 USB  Runtime: 45 Trimmer for...,₹599,4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/nova-prime-series-nht-1086-usb-runtime-45-trimmer-men/p/itmf85yyhjrwvyrz?pid=TMRF85VME4ZM6Z9S&lid=LSTTMRF85VME4ZM6Z9S0RGJM4&marketplace=FLIPKART&spotlightTagId=BestvalueId_zlw%2F79s%2Fby3&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=85abfc67-e05f-4d0b-8ac9-4a830cdce36e.TMRF85VME4ZM6Z9S.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Nova NHT 1076  Runtime: 30 min Trimmer for Men,₹426,4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/nova-nht-1076-runtime-30-min-trimmer-men/p/itmfa2gb6jjfsaum?pid=TMRFA2GXQKGVGTHY&lid=LSTTMRFA2GXQKGVGTHYCBXXUR&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1d5cb288-11e2-4cc4-a5a4-a2b3019979d4.TMRFA2GXQKGVGTHY.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Philips QT3310/15  Runtime: 30 min Trimmer for Men,"₹1,299",4.3,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/philips-qt3310-15-runtime-30-min-trimmer-men/p/itmehhfbfz6hwcrn?pid=SHVEHHFBMHJZUZWS&lid=LSTSHVEHHFBMHJZUZWSKCNLNB&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=3024024c-75fc-4d9d-8cd2-913b7b9027a8.SHVEHHFBMHJZUZWS.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Flipkart SmartBuy ProCut Cordless USB Trimmer for Men,₹850,4.2,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/flipkart-smartbuy-procut-cordless-usb-trimmer-men/p/itmer6rrjknhcujw?pid=TMRER6RRMGNPHNRA&lid=LSTTMRER6RRMGNPHNRAHOGYEU&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1b106f93-f26e-452c-9c23-2aa38d087704.TMRER6RRMGNPHNRA.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Nova NG 1153 Digital USB  Runtime: 160 Mins Trimmer for...,"₹1,424",4.2,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/nova-ng-1153-digital-usb-runtime-160-mins-trimmer-men/p/itmfgdukgehk7q2n?pid=TMRFGDD3G2C7JPG3&lid=LSTTMRFGDD3G2C7JPG3UXDUUR&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=260e66d7-42dc-4948-a08e-12dde9860139.TMRFGDD3G2C7JPG3.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
Philips QT4001/15  Runtime: 45 min Trimmer for Men,"₹1,175",4.3,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/philips-qt4001-15-runtime-45-min-trimmer-men/p/itmdu7ymtpdptghq?pid=SHVDU7YMTPDPTGHQ&lid=LSTSHVDU7YMTPDPTGHQCICW52&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=382f25fc-b9d1-4118-bd2d-953a6f332621.SHVDU7YMTPDPTGHQ.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
S.Blaze NS-216 Hair Remover Rechargeable Professional T...,₹265,3.7,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/s-blaze-ns-216-hair-remover-rechargeable-professional-trimmer-runtime-45-min-men/p/itmf2kefgsqxcngz?pid=TMRF2JPRPNCVZXHZ&lid=LSTTMRF2JPRPNCVZXHZMG0RWQ&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=6631e490-b872-46f8-b85a-85d709a5c597.TMRF2JPRPNCVZXHZ.SEARCH&ssid=gyc21uz0wg0000001574514006507&qH=06d0af197c7a8b9b
